Product Name,Description,Price,Currency,Reference_number,URL
"Bague Juste un Clou, petit modèle, diamants","Or rose, diamants""}",3000.0,EUR,CRB4244800,https://www.cartier.com/fr-fr/bague-juste-un-clou-petit-modele-diamants_cod1647597352457142.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, modèle classique","Or rose""}",8650.0,EUR,CRB6048117,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-modele-classique_cod25372685655708167.html#dept=EU_Juste-Un-Clou
"Bague Juste un Clou, petit modèle, semi-pavée","Or gris, diamants""}",6900.0,EUR,CRB4231600,https://www.cartier.com/fr-fr/bague-juste-un-clou-petit-modele-semi-pavee_cod25372685655521851.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, petit modèle, diamants","Or gris""}",5850.0,EUR,CRB6084017,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-petit-modele-diamants_cod1647597352632616.html#dept=EU_Juste-Un-Clou
"Boucles d'oreilles Juste un Clou, double, diamants","Or jaune, diamants""}",14300.0,EUR,CRB8301504,https://www.cartier.com/fr-fr/boucles-d-oreilles-juste-un-clou-double-diamants_cod1647597344247988.html#dept=EU_Juste-Un-Clou
"Boucles d'oreilles Juste un Clou, double, diamants","Or rose, diamants""}",14300.0,EUR,CRB8301503,https://www.cartier.com/fr-fr/boucles-d-oreilles-juste-un-clou-double-diamants_cod1647597344247985.html#dept=EU_Juste-Un-Clou
"Bague Juste un Clou, double, diamants","Or jaune, diamants""}",5100.0,EUR,CRB4211800,https://www.cartier.com/fr-fr/bague-juste-un-clou-double-diamants_cod25372685655711810.html#dept=EU_Juste-Un-Clou
"Bague Juste un Clou, double, semi-pavée","Or jaune, diamants""}",11300.0,EUR,CRB4211900,https://www.cartier.com/fr-fr/bague-juste-un-clou-double-semi-pavee_cod25458910981758938.html#dept=EU_Juste-Un-Clou
"Bague Juste un Clou, petit modèle, diamants","Or gris, diamants""}",3250.0,EUR,CRB4245000,https://www.cartier.com/fr-fr/bague-juste-un-clou-petit-modele-diamants_cod1647597352457184.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, modèle classique","Or gris""}",9250.0,EUR,CRB6048317,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-modele-classique_cod25372685655708178.html#dept=EU_Juste-Un-Clou
"Sautoir Juste un Clou, multiporté, modèle extra-large","Or rose""}",19200.0,EUR,CRN7424509,https://www.cartier.com/fr-fr/sautoir-juste-un-clou-multiporte-modele-extra-large_cod1647597347594015.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, petit modèle","Or rose""}",3900.0,EUR,CRB6062517,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-petit-modele_cod25372685655706597.html#dept=EU_Juste-Un-Clou
"Sautoir Juste un Clou, multiporté, modèle extra-large","Or jaune""}",19200.0,EUR,CRN7424510,https://www.cartier.com/fr-fr/sautoir-juste-un-clou-multiporte-modele-extra-large_cod1647597347594016.html#dept=EU_Juste-Un-Clou
"Bague Juste un Clou, petit modèle","Or jaune""}",1430.0,EUR,CRB4225900,https://www.cartier.com/fr-fr/bague-juste-un-clou-petit-modele_cod25372685655521805.html#dept=EU_Juste-Un-Clou
"Créoles Juste un Clou, grand modèle, pavées","Or gris, diamants""}",31300.0,EUR,CRN8515008,https://www.cartier.com/fr-fr/creoles-juste-un-clou-grand-modele-pavees_cod25458910981314371.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, modèle classique, diamants","Or gris, diamants""}",15400.0,EUR,CRB6048717,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-modele-classique-diamants_cod25458910981759290.html#dept=EU_Juste-Un-Clou
"Créoles Juste un Clou, grand modèle, pavées","Or rose, diamants""}",29100.0,EUR,CRN8515009,https://www.cartier.com/fr-fr/creoles-juste-un-clou-grand-modele-pavees_cod25458910981314372.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, petit modèle, diamants","Or rose, diamants""}",5450.0,EUR,CRB6065817,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-petit-modele-diamants_cod25372685655521738.html#dept=EU_Juste-Un-Clou
